label,value,tribe,eliminated
Ronnie Bardah,ronnie-bardah,lairo, TRUE
Lauren Beck,lauren-beck,vokai, FALSE
Elizabeth Beisel,elizabeth-beisel,lairo, FALSE
Molly Byman,molly-byman,vokai, FALSE
Missy Byrd,missy-byrd,lairo, FALSE
Janet Carbin,janet-carbin,vokai, FALSE
Kellee Kim,kellee-kim,vokai, FALSE
Dean Kowalski,dean-kowalski,lairo, FALSE
Tom Laidlaw,tom-laidlaw,lairo, FALSE
Jason Linden,jason-linden,vokai, FALSE
Aaron Meredith,aaron-meredith,lairo, FALSE
Vince Moua,vince-moua,lairo, FALSE
Jack Nichting,jack-nichting,vokai, FALSE
Karishma Patel,karishma-patel,lairo, FALSE
Noura Salman,noura-salman,vokai, FALSE
Tommy Sheehan,tommy-sheehan,vokai, FALSE
Jamal Shipman,jamal-shipman,vokai, FALSE
Dan Spilo,dan-spilo,vokai, FALSE
Elaine Stott,elaine-stott,lairo, FALSE
Chelsea Walker,chelsea-walker,lairo, FALSE
