label,value,tribe,eliminated
Natalie Anderson,natalie-anderson,Sele,TRUE
Amber Mariano,amber-mariano,Dakal,TRUE
Tyson Apostol,tyson-apostol,Dakal,FALSE
Danni Boatwright,danni-boatwright,Sele,FALSE
Sophie Clarke,sophie-clarke,Dakal,FALSE
Jeremy Collins,jeremy-collins,Sele,FALSE
Sandra Diaz,sandra-diaz,Dakal,FALSE
Ben Driebergen,ben-driebergen,Sele,FALSE
Michele Fitzgerald,michele-fitzgerald,Sele,FALSE
Wendell Holland,wendell-holland,Dakal,FALSE
Adam Klein,adam-klein,Sele,FALSE
Yul Kwon,yul-kwon,Dakal,FALSE
Sarah Lacina,sarah-lacina,Dakal,FALSE
Rob Mariano,rob-mariano,Sele,FALSE
Parvati Shallow,parvati-shallow,Sele,FALSE
Kim Spradlin,kim-spradlin,Dakal,FALSE
Denise Stapley,denise-stapley,Sele,FALSE
Tony Vlachos,tony-vlachos,Dakal,FALSE
Nick Wilson,nick-wilson,Dakal,FALSE
Ethan Zohn,ethan-zohn,Sele,FALSE

